click_quality_value,search_quality_success_value,ai_trigger,ai_success,zero_result,latency_ms,data_completeness,data_freshness_min,tenant_tier,ai_enablement,connector_type,industry_vertical,query_type,period,metric_ts,scenario_id
0.270185,0.270185,0.000000,0.000000,0,338,0.980979,12,standard,ai_off,confluence,finance,informational,baseline,2026-03-14T08:00:00Z,ai_adoption_positive
0.300806,0.300806,0.000000,0.000000,0,202,0.982625,15,premium,ai_off,slack,tech,informational,baseline,2026-03-14T08:01:00Z,ai_adoption_positive
0.278655,0.278655,0.000000,0.000000,0,208,0.978496,8,standard,ai_off,gdrive,retail,informational,baseline,2026-03-14T08:02:00Z,ai_adoption_positive
0.277944,0.277944,0.000000,0.000000,0,189,0.987191,18,standard,ai_off,jira,finance,navigational,baseline,2026-03-14T08:03:00Z,ai_adoption_positive
0.297230,0.297230,0.000000,0.000000,0,254,0.992750,19,premium,ai_off,jira,finance,informational,baseline,2026-03-14T08:04:00Z,ai_adoption_positive
0.252648,0.252648,0.344529,0.659112,0,159,0.987226,9,premium,ai_on,confluence,tech,action,baseline,2026-03-14T08:05:00Z,ai_adoption_positive
0.256224,0.256224,0.351580,0.654045,0,165,0.985562,18,enterprise,ai_on,jira,finance,navigational,baseline,2026-03-14T08:06:00Z,ai_adoption_positive
0.297708,0.297708,0.000000,0.000000,0,143,0.984289,17,enterprise,ai_off,sharepoint,retail,navigational,baseline,2026-03-14T08:07:00Z,ai_adoption_positive
0.296767,0.296767,0.000000,0.000000,0,157,0.983563,19,premium,ai_off,jira,tech,informational,baseline,2026-03-14T08:08:00Z,ai_adoption_positive
0.260964,0.260964,0.353365,0.656847,0,146,0.991125,16,premium,ai_on,jira,retail,navigational,baseline,2026-03-14T08:09:00Z,ai_adoption_positive
0.246317,0.246317,0.358031,0.654437,0,234,0.991173,14,premium,ai_on,confluence,retail,action,baseline,2026-03-14T08:10:00Z,ai_adoption_positive
0.247338,0.247338,0.357077,0.652338,0,197,0.989480,19,premium,ai_on,slack,retail,action,baseline,2026-03-14T08:11:00Z,ai_adoption_positive
0.251805,0.251805,0.345982,0.650733,0,192,0.987104,24,premium,ai_on,sharepoint,retail,navigational,baseline,2026-03-14T08:12:00Z,ai_adoption_positive
0.231530,0.231530,0.348835,0.643974,0,102,0.974689,16,standard,ai_on,gdrive,tech,action,baseline,2026-03-14T08:13:00Z,ai_adoption_positive
0.278704,0.278704,0.000000,0.000000,0,237,0.984778,23,standard,ai_off,slack,tech,navigational,baseline,2026-03-14T08:14:00Z,ai_adoption_positive
0.305201,0.305201,0.000000,0.000000,0,215,0.980919,14,enterprise,ai_off,confluence,retail,action,baseline,2026-03-14T08:15:00Z,ai_adoption_positive
0.304166,0.304166,0.000000,0.000000,0,210,0.983572,19,enterprise,ai_off,slack,retail,informational,baseline,2026-03-14T08:16:00Z,ai_adoption_positive
