click_quality_value,search_quality_success_value,ai_trigger,ai_success,zero_result,latency_ms,data_completeness,data_freshness_min,tenant_tier,ai_enablement,connector_type,industry_vertical,query_type,period,metric_ts,scenario_id
0.282051,0.282051,0.000000,0.000000,0,161,0.977392,16,standard,ai_off,jira,tech,navigational,baseline,2026-03-14T08:00:00Z,connector_failure
0.231778,0.235504,0.354049,0.665173,0,219,0.983456,15,standard,ai_on,confluence,tech,informational,baseline,2026-03-14T08:01:00Z,connector_failure
0.305186,0.305186,0.000000,0.000000,0,216,0.983264,20,enterprise,ai_off,slack,finance,informational,baseline,2026-03-14T08:02:00Z,connector_failure
0.235838,0.235838,0.343900,0.671847,0,229,0.985797,16,standard,ai_on,jira,retail,navigational,baseline,2026-03-14T08:03:00Z,connector_failure
0.234623,0.234623,0.347318,0.642026,0,197,0.978219,18,standard,ai_on,sharepoint,tech,informational,baseline,2026-03-14T08:04:00Z,connector_failure
0.259064,0.259064,0.348631,0.639009,0,258,0.988216,11,enterprise,ai_on,slack,finance,action,baseline,2026-03-14T08:05:00Z,connector_failure
0.230459,0.230459,0.343899,0.653615,0,176,0.987054,18,standard,ai_on,confluence,tech,informational,baseline,2026-03-14T08:06:00Z,connector_failure
0.301792,0.301792,0.000000,0.000000,0,131,0.989831,16,enterprise,ai_off,confluence,retail,informational,baseline,2026-03-14T08:07:00Z,connector_failure
0.251559,0.251559,0.349606,0.658268,0,173,0.977386,24,premium,ai_on,jira,retail,informational,baseline,2026-03-14T08:08:00Z,connector_failure
0.251852,0.251852,0.342625,0.637093,0,198,0.977516,7,premium,ai_on,slack,retail,informational,baseline,2026-03-14T08:09:00Z,connector_failure
0.281694,0.281694,0.000000,0.000000,0,224,0.970229,12,standard,ai_off,jira,tech,navigational,baseline,2026-03-14T08:10:00Z,connector_failure
0.229114,0.229114,0.347211,0.656988,0,221,0.979070,9,standard,ai_on,jira,retail,informational,baseline,2026-03-14T08:11:00Z,connector_failure
0.264708,0.264708,0.344674,0.670709,0,112,0.982824,9,enterprise,ai_on,confluence,tech,navigational,baseline,2026-03-14T08:12:00Z,connector_failure
0.312856,0.312856,0.000000,0.000000,0,230,0.983390,19,enterprise,ai_off,confluence,finance,navigational,baseline,2026-03-14T08:13:00Z,connector_failure
0.250168,0.250168,0.340998,0.648496,0,228,0.989836,19,premium,ai_on,confluence,retail,action,baseline,2026-03-14T08:14:00Z,connector_failure
0.252344,0.252344,0.345787,0.664128,0,294,0.987393,20,premium,ai_on,gdrive,tech,navigational,baseline,2026-03-14T08:15:00Z,connector_failure
0.275814,0.275814,0.000000,0.000000,0,157,0.981724,24,standard,ai_off,gdrive,tech,action,baseline,2026-03-14T08:16:00Z,connector_failure
0.260356,0.260356,0.349383,0.644253,0,116,0.986252,15,enterprise,ai_on,sharepoint,tech,navigational,baseline,2026-03-14T08:17:00Z,connector_failure
0.299923,0.299923,0.000000,0.000000,0,232,0.988267,13,premium,ai_off,gdrive,finance,informational,baseline,2026-03-14T08:18:00Z,connector_failure
0.230714,0.230714,0.350877,0.655654,0,179,0.983940,18,standard,ai_on,slack,finance,action,baseline,2026-03-14T08:19:00Z,connector_failure
0.237909,0.237909,0.354759,0.657005,1,222,0.979369,13,standard,ai_on,sharepoint,retail,navigational,baseline,2026-03-14T08:20:00Z,connector_failure
0.278364,0.278364,0.000000,0.000000,0,194,0.988301,18,standard,ai_off,sharepoint,tech,action,baseline,2026-03-14T08:21:00Z,connector_failure
0.256529,0.256529,0.344823,0.655069,0,182,0.982318,18,premium,ai_on,gdrive,retail,navigational,baseline,2026-03-14T08:22:00Z,connector_failure
0.293920,0.293920,0.000000,0.000000,0,191,0.989407,15,premium,ai_off,confluence,tech,informational,baseline,2026-03-14T08:23:00Z,connector_failure
0.274411,0.274411,0.000000,0.000000,0,188,0.985073,8,standard,ai_off,confluence,tech,informational,baseline,2026-03-14T08:24:00Z,connector_failure
0.246336,0.246336,0.351709,0.631502,0,192,0.986964,24,premium,ai_on,slack,finance,action,baseline,2026-03-14T08:25:00Z,connector_failure
0.277605,0.277605,0.000000,0.000000,0,137,0.986544,1,standard,ai_off,sharepoint,retail,action,baseline,2026-03-14T08:26:00Z,connector_failure
0.276534,0.276534,0.000000,0.000000,0,198,0.985798,17,standard,ai_off,gdrive,retail,informational,baseline,2026-03-14T08:27:00Z,connector_failure
0.274601,0.274601,0.000000,0.000000,0,180,0.976849,20,standard,ai_off,gdrive,tech,navigational,baseline,2026-03-14T08:28:00Z,connector_failure
0.258716,0.258716,0.355013,0.648886,0,186,0.993293,11,premium,ai_on,confluence,tech,navigational,baseline,2026-03-14T08:29:00Z,connector_failure
0.238257,0.238257,0.353439,0.640642,0,223,0.988742,20,standard,ai_on,gdrive,retail,navigational,baseline,2026-03-14T08:30:00Z,connector_failure
0.274909,0.274909,0.000000,0.000000,0,293,0.987898,13,standard,ai_off,gdrive,retail,informational,baseline,2026-03-14T08:31:00Z,connector_failure
0.281495,0.281495,0.000000,0.000000,0,223,0.985951,21,standard,ai_off,slack,retail,action,baseline,2026-03-14T08:32:00Z,connector_failure
0.277646,0.277646,0.000000,0.000000,0,134,0.984875,1,standard,ai_off,confluence,tech,navigational,baseline,2026-03-14T08:33:00Z,connector_failure
0.291958,0.291958,0.000000,0.000000,0,167,0.979038,11,premium,ai_off,sharepoint,tech,informational,baseline,2026-03-14T08:34:00Z,connector_failure
0.303719,0.303719,0.000000,0.000000,1,217,0.987746,17,enterprise,ai_off,jira,tech,navigational,baseline,2026-03-14T08:35:00Z,connector_failure
0.228786,0.228886,0.356098,0.642761,0,230,0.976668,10,standard,ai_on,slack,retail,informational,baseline,2026-03-14T08:36:00Z,connector_failure
0.234989,0.234989,0.349627,0.641932,0,232,0.983044,17,standard,ai_on,slack,healthcare,informational,baseline,2026-03-14T08:37:00Z,connector_failure
0.298419,0.298419,0.000000,0.000000,0,177,0.984177,13,premium,ai_off,jira,finance,navigational,baseline,2026-03-14T08:38:00Z,connector_failure
0.277072,0.277072,0.000000,0.000000,0,262,0.988340,14,standard,ai_off,confluence,tech,action,baseline,2026-03-14T08:39:00Z,connector_failure
0.284656,0.284656,0.000000,0.000000,0,234,0.989067,17,standard,ai_off,confluence,tech,navigational,baseline,2026-03-14T08:40:00Z,connector_failure
0.232768,0.232768,0.354285,0.644526,0,244,0.985025,18,standard,ai_on,confluence,healthcare,informational,baseline,2026-03-14T08:41:00Z,connector_failure
0.273437,0.273437,0.000000,0.000000,0,172,0.988009,19,standard,ai_off,slack,tech,informational,baseline,2026-03-14T08:42:00Z,connector_failure
0.251325,0.251325,0.346780,0.655832,0,244,0.985427,18,premium,ai_on,gdrive,healthcare,navigational,baseline,2026-03-14T08:43:00Z,connector_failure
0.237367,0.237367,0.347541,0.638059,0,227,0.979537,10,standard,ai_on,gdrive,tech,informational,baseline,2026-03-14T08:44:00Z,connector_failure
0.248986,0.248986,0.354435,0.666858,0,197,0.982882,11,premium,ai_on,gdrive,healthcare,navigational,baseline,2026-03-14T08:45:00Z,connector_failure
0.298103,0.298103,0.000000,0.000000,0,281,0.975114,13,premium,ai_off,sharepoint,tech,navigational,baseline,2026-03-14T08:46:00Z,connector_failure
0.229440,0.229440,0.345722,0.642062,0,190,0.982528,22,standard,ai_on,jira,finance,navigational,baseline,2026-03-14T08:47:00Z,connector_failure
0.258454,0.258454,0.342432,0.646556,0,179,0.973479,18,enterprise,ai_on,confluence,retail,informational,baseline,2026-03-14T08:48:00Z,connector_failure
0.294421,0.294421,0.000000,0.000000,0,237,0.981606,17,enterprise,ai_off,sharepoint,tech,navigational,baseline,2026-03-14T08:49:00Z,connector_failure
0.303644,0.303644,0.000000,0.000000,0,138,0.995004,15,enterprise,ai_off,confluence,tech,navigational,baseline,2026-03-14T08:50:00Z,connector_failure
0.299151,0.299151,0.000000,0.000000,0,201,0.984128,11,premium,ai_off,confluence,retail,informational,baseline,2026-03-14T08:51:00Z,connector_failure
0.297782,0.297782,0.000000,0.000000,0,110,0.979989,11,premium,ai_off,slack,retail,navigational,baseline,2026-03-14T08:52:00Z,connector_failure
0.297755,0.297755,0.000000,0.000000,0,186,0.990734,18,enterprise,ai_off,gdrive,healthcare,action,baseline,2026-03-14T08:53:00Z,connector_failure
0.254385,0.254385,0.354837,0.638689,0,124,0.981250,17,premium,ai_on,gdrive,healthcare,navigational,baseline,2026-03-14T08:54:00Z,connector_failure
0.227248,0.229637,0.350793,0.654621,0,173,0.989474,11,standard,ai_on,confluence,retail,informational,baseline,2026-03-14T08:55:00Z,connector_failure
0.268008,0.268008,0.000000,0.000000,0,178,0.990012,23,standard,ai_off,gdrive,tech,navigational,baseline,2026-03-14T08:56:00Z,connector_failure
0.275478,0.275478,0.000000,0.000000,0,219,0.978337,24,standard,ai_off,slack,tech,navigational,baseline,2026-03-14T08:57:00Z,connector_failure
0.274774,0.274774,0.000000,0.000000,0,225,0.985452,11,standard,ai_off,slack,finance,navigational,baseline,2026-03-14T08:58:00Z,connector_failure
0.234393,0.234393,0.354299,0.643166,0,50,0.986463,5,standard,ai_on,gdrive,finance,informational,baseline,2026-03-14T08:59:00Z,connector_failure
0.228679,0.228679,0.348203,0.640984,0,314,0.987852,15,standard,ai_on,jira,retail,informational,baseline,2026-03-14T09:00:00Z,connector_failure
0.264904,0.264904,0.344915,0.658000,0,199,0.986430,11,enterprise,ai_on,gdrive,tech,informational,baseline,2026-03-14T09:01:00Z,connector_failure
0.300296,0.300296,0.000000,0.000000,0,193,0.978955,20,enterprise,ai_off,gdrive,healthcare,informational,baseline,2026-03-14T09:02:00Z,connector_failure
0.282236,0.282236,0.000000,0.000000,0,205,0.984402,25,standard,ai_off,gdrive,tech,navigational,baseline,2026-03-14T09:03:00Z,connector_failure
0.234255,0.234255,0.349949,0.650479,0,232,0.984321,16,standard,ai_on,sharepoint,finance,informational,baseline,2026-03-14T09:04:00Z,connector_failure
0.273897,0.273897,0.000000,0.000000,0,174,0.993030,4,standard,ai_off,gdrive,healthcare,informational,baseline,2026-03-14T09:05:00Z,connector_failure
0.303713,0.303713,0.000000,0.000000,0,189,0.990547,18,enterprise,ai_off,confluence,healthcare,navigational,baseline,2026-03-14T09:06:00Z,connector_failure
0.301939,0.301939,0.000000,0.000000,0,151,0.975206,8,enterprise,ai_off,slack,finance,navigational,baseline,2026-03-14T09:07:00Z,connector_failure
0.231648,0.231648,0.356266,0.642740,0,198,0.992611,12,standard,ai_on,confluence,healthcare,navigational,baseline,2026-03-14T09:08:00Z,connector_failure
0.273491,0.273491,0.000000,0.000000,0,212,0.994802,13,standard,ai_off,gdrive,retail,action,baseline,2026-03-14T09:09:00Z,connector_failure
0.277942,0.277942,0.000000,0.000000,0,208,0.988006,13,standard,ai_off,confluence,tech,informational,baseline,2026-03-14T09:10:00Z,connector_failure
0.294123,0.294123,0.000000,0.000000,0,100,0.980099,9,premium,ai_off,jira,finance,navigational,baseline,2026-03-14T09:11:00Z,connector_failure
0.282719,0.282719,0.000000,0.000000,0,245,0.988776,15,standard,ai_off,confluence,tech,informational,baseline,2026-03-14T09:12:00Z,connector_failure
0.279062,0.279062,0.000000,0.000000,0,195,0.982582,12,standard,ai_off,sharepoint,tech,navigational,baseline,2026-03-14T09:13:00Z,connector_failure
0.273034,0.273034,0.000000,0.000000,0,136,0.981671,7,standard,ai_off,slack,finance,navigational,baseline,2026-03-14T09:14:00Z,connector_failure
0.272202,0.272202,0.000000,0.000000,0,76,0.988973,16,standard,ai_off,jira,tech,informational,baseline,2026-03-14T09:15:00Z,connector_failure
0.281798,0.281798,0.000000,0.000000,0,191,0.978895,10,standard,ai_off,gdrive,tech,informational,baseline,2026-03-14T09:16:00Z,connector_failure
0.282627,0.282627,0.000000,0.000000,0,200,0.984230,15,standard,ai_off,confluence,tech,informational,baseline,2026-03-14T09:17:00Z,connector_failure
0.235767,0.235767,0.354724,0.643039,0,208,0.985811,17,standard,ai_on,gdrive,tech,action,baseline,2026-03-14T09:18:00Z,connector_failure
0.278716,0.278716,0.000000,0.000000,0,244,0.987717,11,standard,ai_off,sharepoint,tech,action,baseline,2026-03-14T09:19:00Z,connector_failure
0.278027,0.278027,0.000000,0.000000,0,122,0.985870,18,standard,ai_off,confluence,healthcare,navigational,baseline,2026-03-14T09:20:00Z,connector_failure
0.298815,0.298815,0.000000,0.000000,0,171,0.993717,22,premium,ai_off,confluence,tech,informational,baseline,2026-03-14T09:21:00Z,connector_failure
0.234960,0.234960,0.352170,0.632677,0,166,0.986119,16,standard,ai_on,confluence,tech,navigational,baseline,2026-03-14T09:22:00Z,connector_failure
0.275260,0.275260,0.000000,0.000000,0,254,0.991032,7,standard,ai_off,gdrive,tech,informational,baseline,2026-03-14T09:23:00Z,connector_failure
0.274272,0.274272,0.000000,0.000000,0,85,0.989372,16,standard,ai_off,confluence,tech,navigational,baseline,2026-03-14T09:24:00Z,connector_failure
0.305804,0.305804,0.000000,0.000000,0,210,0.976308,15,enterprise,ai_off,sharepoint,tech,navigational,baseline,2026-03-14T09:25:00Z,connector_failure
0.306631,0.306631,0.000000,0.000000,0,150,0.988250,16,enterprise,ai_off,sharepoint,tech,navigational,baseline,2026-03-14T09:26:00Z,connector_failure
