click_quality_value,search_quality_success_value,ai_trigger,ai_success,zero_result,latency_ms,data_completeness,data_freshness_min,tenant_tier,ai_enablement,connector_type,industry_vertical,query_type,period,metric_ts,scenario_id
0.275786,0.275786,0.000000,0.000000,0,270,0.987062,15,standard,ai_off,confluence,tech,navigational,baseline,2026-03-14T08:00:00Z,mix_shift
0.233479,0.233479,0.347121,0.662346,0,122,0.994391,17,standard,ai_on,confluence,tech,informational,baseline,2026-03-14T08:01:00Z,mix_shift
0.280577,0.280577,0.000000,0.000000,0,257,0.985267,12,standard,ai_off,confluence,retail,informational,baseline,2026-03-14T08:02:00Z,mix_shift
0.284017,0.284017,0.000000,0.000000,0,302,0.987026,4,standard,ai_off,gdrive,tech,informational,baseline,2026-03-14T08:03:00Z,mix_shift
0.292331,0.292331,0.000000,0.000000,0,179,0.977057,18,premium,ai_off,confluence,tech,informational,baseline,2026-03-14T08:04:00Z,mix_shift
0.254330,0.254330,0.351218,0.641491,0,146,0.983891,5,enterprise,ai_on,confluence,retail,navigational,baseline,2026-03-14T08:05:00Z,mix_shift
0.265455,0.265455,0.000000,0.000000,0,217,0.983035,8,standard,ai_off,gdrive,retail,action,baseline,2026-03-14T08:06:00Z,mix_shift
0.290350,0.290350,0.000000,0.000000,0,136,0.985407,15,premium,ai_off,gdrive,finance,navigational,baseline,2026-03-14T08:07:00Z,mix_shift
0.302276,0.302276,0.000000,0.000000,0,226,0.985324,15,enterprise,ai_off,slack,retail,navigational,baseline,2026-03-14T08:08:00Z,mix_shift
0.279982,0.279982,0.000000,0.000000,0,110,0.986732,14,standard,ai_off,confluence,finance,action,baseline,2026-03-14T08:09:00Z,mix_shift
0.277530,0.277530,0.000000,0.000000,0,119,0.987706,12,standard,ai_off,confluence,finance,action,baseline,2026-03-14T08:10:00Z,mix_shift
0.254000,0.254000,0.341006,0.651780,0,250,0.983215,17,premium,ai_on,jira,retail,informational,baseline,2026-03-14T08:11:00Z,mix_shift
0.235285,0.235285,0.346570,0.652612,0,216,0.989909,8,standard,ai_on,confluence,retail,navigational,baseline,2026-03-14T08:12:00Z,mix_shift
0.260427,0.260427,0.344785,0.662375,0,175,0.980260,14,enterprise,ai_on,gdrive,finance,navigational,baseline,2026-03-14T08:13:00Z,mix_shift
0.277667,0.277667,0.000000,0.000000,0,259,0.994047,16,standard,ai_off,slack,healthcare,informational,baseline,2026-03-14T08:14:00Z,mix_shift
0.299962,0.299962,0.000000,0.000000,0,225,0.979088,17,premium,ai_off,slack,tech,navigational,baseline,2026-03-14T08:15:00Z,mix_shift
0.299470,0.299470,0.000000,0.000000,0,126,0.987879,12,enterprise,ai_off,confluence,retail,informational,baseline,2026-03-14T08:16:00Z,mix_shift
0.262020,0.262020,0.352173,0.649161,0,225,0.985916,23,enterprise,ai_on,confluence,finance,informational,baseline,2026-03-14T08:17:00Z,mix_shift
0.270127,0.270127,0.000000,0.000000,0,186,0.987182,10,standard,ai_off,jira,finance,action,baseline,2026-03-14T08:18:00Z,mix_shift
0.278598,0.278598,0.000000,0.000000,0,172,0.978123,16,standard,ai_off,slack,finance,navigational,baseline,2026-03-14T08:19:00Z,mix_shift
0.291601,0.291601,0.000000,0.000000,0,141,0.991549,17,premium,ai_off,confluence,finance,action,baseline,2026-03-14T08:20:00Z,mix_shift
0.254434,0.254434,0.345366,0.641994,0,278,0.984390,4,premium,ai_on,slack,healthcare,navigational,baseline,2026-03-14T08:21:00Z,mix_shift
0.258073,0.258073,0.352395,0.633359,0,154,0.982204,10,enterprise,ai_on,gdrive,retail,informational,baseline,2026-03-14T08:22:00Z,mix_shift
0.290857,0.290857,0.000000,0.000000,0,170,0.983054,17,premium,ai_off,gdrive,healthcare,informational,baseline,2026-03-14T08:23:00Z,mix_shift
0.251536,0.251536,0.353088,0.642125,1,224,0.983643,14,premium,ai_on,sharepoint,tech,navigational,baseline,2026-03-14T08:24:00Z,mix_shift
0.280166,0.280166,0.000000,0.000000,0,188,0.986828,10,standard,ai_off,slack,retail,action,baseline,2026-03-14T08:25:00Z,mix_shift
0.301219,0.301219,0.000000,0.000000,0,255,0.987708,13,enterprise,ai_off,jira,finance,navigational,baseline,2026-03-14T08:26:00Z,mix_shift
0.294094,0.294094,0.000000,0.000000,0,187,0.985237,8,premium,ai_off,slack,healthcare,informational,baseline,2026-03-14T08:27:00Z,mix_shift
0.280598,0.280598,0.000000,0.000000,0,205,0.994209,14,standard,ai_off,confluence,finance,informational,baseline,2026-03-14T08:28:00Z,mix_shift
0.279580,0.279580,0.000000,0.000000,0,169,0.983221,20,standard,ai_off,slack,tech,informational,baseline,2026-03-14T08:29:00Z,mix_shift
0.294325,0.294325,0.000000,0.000000,0,181,0.975102,16,premium,ai_off,gdrive,retail,informational,baseline,2026-03-14T08:30:00Z,mix_shift
0.248287,0.248287,0.346218,0.639724,0,208,0.987253,18,premium,ai_on,gdrive,retail,informational,baseline,2026-03-14T08:31:00Z,mix_shift
0.291685,0.291685,0.000000,0.000000,0,154,0.975720,13,premium,ai_off,gdrive,healthcare,informational,baseline,2026-03-14T08:32:00Z,mix_shift
0.274940,0.274940,0.000000,0.000000,0,254,0.987371,12,standard,ai_off,gdrive,retail,navigational,baseline,2026-03-14T08:33:00Z,mix_shift
0.243182,0.243182,0.354666,0.659505,0,271,0.989110,20,premium,ai_on,gdrive,healthcare,navigational,baseline,2026-03-14T08:34:00Z,mix_shift
0.234589,0.245571,0.364777,0.673208,0,135,0.976892,13,standard,ai_on,gdrive,retail,navigational,baseline,2026-03-14T08:35:00Z,mix_shift
0.237878,0.237878,0.342071,0.648985,0,143,0.985193,12,standard,ai_on,slack,retail,informational,baseline,2026-03-14T08:36:00Z,mix_shift
0.281057,0.281057,0.000000,0.000000,0,241,0.992619,15,standard,ai_off,jira,healthcare,navigational,baseline,2026-03-14T08:37:00Z,mix_shift
0.256825,0.256825,0.359443,0.636712,0,231,0.990189,8,premium,ai_on,confluence,healthcare,informational,baseline,2026-03-14T08:38:00Z,mix_shift
0.280168,0.280168,0.000000,0.000000,0,194,0.986359,20,standard,ai_off,jira,finance,navigational,baseline,2026-03-14T08:39:00Z,mix_shift
0.311640,0.311640,0.000000,0.000000,0,220,0.986166,11,enterprise,ai_off,slack,tech,informational,baseline,2026-03-14T08:40:00Z,mix_shift
0.305910,0.305910,0.000000,0.000000,0,170,0.985743,11,enterprise,ai_off,confluence,tech,action,baseline,2026-03-14T08:41:00Z,mix_shift
0.301642,0.301642,0.000000,0.000000,1,258,0.985790,17,premium,ai_off,gdrive,finance,navigational,baseline,2026-03-14T08:42:00Z,mix_shift
0.304259,0.304259,0.000000,0.000000,0,268,0.990353,17,enterprise,ai_off,confluence,tech,action,baseline,2026-03-14T08:43:00Z,mix_shift
0.298814,0.298814,0.000000,0.000000,0,213,0.987778,11,premium,ai_off,slack,retail,navigational,baseline,2026-03-14T08:44:00Z,mix_shift
0.230442,0.234237,0.360485,0.649782,0,140,0.985238,18,standard,ai_on,confluence,healthcare,action,baseline,2026-03-14T08:45:00Z,mix_shift
0.248213,0.248213,0.349733,0.648709,0,228,0.983390,15,premium,ai_on,sharepoint,retail,informational,baseline,2026-03-14T08:46:00Z,mix_shift
0.301929,0.301929,0.000000,0.000000,0,215,0.984020,16,enterprise,ai_off,gdrive,tech,informational,baseline,2026-03-14T08:47:00Z,mix_shift
0.228897,0.231187,0.361815,0.638964,0,180,0.980662,7,standard,ai_on,confluence,tech,informational,baseline,2026-03-14T08:48:00Z,mix_shift
0.276559,0.276559,0.000000,0.000000,0,169,0.987151,18,standard,ai_off,sharepoint,tech,navigational,baseline,2026-03-14T08:49:00Z,mix_shift
0.306799,0.306799,0.000000,0.000000,0,237,0.984445,16,enterprise,ai_off,slack,retail,action,baseline,2026-03-14T08:50:00Z,mix_shift
0.281993,0.281993,0.000000,0.000000,0,199,0.990967,18,standard,ai_off,gdrive,retail,informational,baseline,2026-03-14T08:51:00Z,mix_shift
0.254143,0.254143,0.348884,0.645075,1,123,0.984270,13,enterprise,ai_on,confluence,tech,action,baseline,2026-03-14T08:52:00Z,mix_shift
0.234253,0.234253,0.344399,0.663183,0,241,0.984425,12,standard,ai_on,confluence,tech,informational,baseline,2026-03-14T08:53:00Z,mix_shift
0.252972,0.252972,0.355152,0.668669,0,223,0.988043,10,premium,ai_on,confluence,tech,informational,baseline,2026-03-14T08:54:00Z,mix_shift
0.230895,0.233270,0.353823,0.659286,0,249,0.996974,15,standard,ai_on,slack,finance,action,baseline,2026-03-14T08:55:00Z,mix_shift
0.312851,0.312851,0.000000,0.000000,0,175,0.986525,17,enterprise,ai_off,gdrive,finance,informational,baseline,2026-03-14T08:56:00Z,mix_shift
0.235512,0.239023,0.355935,0.671537,0,234,0.985508,16,standard,ai_on,jira,finance,informational,baseline,2026-03-14T08:57:00Z,mix_shift
0.307866,0.307866,0.000000,0.000000,0,241,0.979854,19,enterprise,ai_off,confluence,finance,action,baseline,2026-03-14T08:58:00Z,mix_shift
0.279138,0.279138,0.000000,0.000000,0,171,0.979610,14,standard,ai_off,confluence,finance,navigational,baseline,2026-03-14T08:59:00Z,mix_shift
0.233415,0.233415,0.350527,0.657930,0,229,0.986482,20,standard,ai_on,gdrive,retail,action,baseline,2026-03-14T09:00:00Z,mix_shift
0.272949,0.272949,0.000000,0.000000,0,205,0.985205,12,standard,ai_off,gdrive,tech,informational,baseline,2026-03-14T09:01:00Z,mix_shift
0.244436,0.244436,0.359349,0.653580,0,153,0.984831,12,premium,ai_on,confluence,tech,navigational,baseline,2026-03-14T09:02:00Z,mix_shift
0.256765,0.256765,0.353165,0.636324,0,178,0.988605,7,enterprise,ai_on,gdrive,finance,navigational,baseline,2026-03-14T09:03:00Z,mix_shift
0.233687,0.233687,0.354622,0.646243,0,248,0.982144,13,standard,ai_on,slack,tech,navigational,baseline,2026-03-14T09:04:00Z,mix_shift
0.251272,0.251272,0.341802,0.655105,0,181,0.988308,18,premium,ai_on,gdrive,healthcare,action,baseline,2026-03-14T09:05:00Z,mix_shift
0.304490,0.304490,0.000000,0.000000,0,180,0.985932,15,enterprise,ai_off,gdrive,tech,informational,baseline,2026-03-14T09:06:00Z,mix_shift
0.248139,0.248139,0.353697,0.639319,0,188,0.989854,21,premium,ai_on,jira,retail,informational,baseline,2026-03-14T09:07:00Z,mix_shift
0.274436,0.274436,0.000000,0.000000,0,240,0.985108,22,standard,ai_off,jira,healthcare,informational,baseline,2026-03-14T09:08:00Z,mix_shift
0.293357,0.293357,0.000000,0.000000,0,199,0.977305,16,premium,ai_off,confluence,healthcare,informational,baseline,2026-03-14T09:09:00Z,mix_shift
0.279482,0.279482,0.000000,0.000000,0,100,0.985759,16,standard,ai_off,jira,tech,navigational,baseline,2026-03-14T09:10:00Z,mix_shift
0.247069,0.247069,0.348092,0.647427,0,253,0.985352,18,premium,ai_on,jira,retail,informational,baseline,2026-03-14T09:11:00Z,mix_shift
0.275655,0.275655,0.000000,0.000000,0,203,0.988633,4,standard,ai_off,slack,finance,informational,baseline,2026-03-14T09:12:00Z,mix_shift
0.261198,0.261198,0.351049,0.649768,0,214,0.982586,17,enterprise,ai_on,confluence,finance,informational,baseline,2026-03-14T09:13:00Z,mix_shift
0.295696,0.295696,0.000000,0.000000,0,183,0.987868,11,premium,ai_off,jira,tech,informational,baseline,2026-03-14T09:14:00Z,mix_shift
0.303240,0.303240,0.000000,0.000000,0,192,0.988199,16,enterprise,ai_off,jira,retail,informational,baseline,2026-03-14T09:15:00Z,mix_shift
0.297123,0.297123,0.000000,0.000000,1,141,0.992417,19,enterprise,ai_off,slack,healthcare,action,baseline,2026-03-14T09:16:00Z,mix_shift
0.300712,0.300712,0.000000,0.000000,0,168,0.975740,16,enterprise,ai_off,sharepoint,finance,informational,baseline,2026-03-14T09:17:00Z,mix_shift
0.251780,0.251780,0.349469,0.653385,0,119,0.984308,9,enterprise,ai_on,sharepoint,retail,navigational,baseline,2026-03-14T09:18:00Z,mix_shift
0.253956,0.253956,0.350049,0.653775,1,254,0.988165,16,premium,ai_on,gdrive,healthcare,informational,baseline,2026-03-14T09:19:00Z,mix_shift
0.261682,0.261682,0.348457,0.658966,0,218,0.986831,27,enterprise,ai_on,gdrive,finance,action,baseline,2026-03-14T09:20:00Z,mix_shift
0.277603,0.277603,0.000000,0.000000,0,305,0.985723,9,standard,ai_off,gdrive,tech,action,baseline,2026-03-14T09:21:00Z,mix_shift
0.256877,0.256877,0.342757,0.647407,0,175,0.992156,18,enterprise,ai_on,slack,retail,navigational,baseline,2026-03-14T09:22:00Z,mix_shift
0.234561,0.234561,0.346765,0.654057,0,226,0.986448,11,standard,ai_on,gdrive,finance,navigational,baseline,2026-03-14T09:23:00Z,mix_shift
0.306702,0.306702,0.000000,0.000000,0,200,0.980823,11,enterprise,ai_off,gdrive,tech,informational,baseline,2026-03-14T09:24:00Z,mix_shift
