click_quality_value,search_quality_success_value,ai_trigger,ai_success,zero_result,latency_ms,data_completeness,data_freshness_min,tenant_tier,ai_enablement,connector_type,industry_vertical,query_type,period,metric_ts,scenario_id
0.255291,0.255291,0.346862,0.661561,0,346,0.982123,12,enterprise,ai_on,gdrive,healthcare,navigational,baseline,2026-03-14T08:00:00Z,normal_variance
0.298304,0.298304,0.000000,0.000000,0,246,0.986898,28,premium,ai_off,sharepoint,tech,navigational,baseline,2026-03-14T08:01:00Z,normal_variance
0.277533,0.277533,0.000000,0.000000,0,141,0.980978,17,standard,ai_off,jira,tech,action,baseline,2026-03-14T08:02:00Z,normal_variance
0.293544,0.293544,0.000000,0.000000,1,145,0.985454,20,premium,ai_off,sharepoint,tech,action,baseline,2026-03-14T08:03:00Z,normal_variance
0.235560,0.235560,0.351628,0.640437,0,211,0.979101,15,standard,ai_on,slack,tech,informational,baseline,2026-03-14T08:04:00Z,normal_variance
0.249925,0.249925,0.353407,0.649842,0,343,0.985514,12,premium,ai_on,confluence,finance,informational,baseline,2026-03-14T08:05:00Z,normal_variance
0.233428,0.233428,0.347412,0.655276,0,224,0.990597,13,standard,ai_on,slack,tech,navigational,baseline,2026-03-14T08:06:00Z,normal_variance
0.256632,0.256632,0.346469,0.662198,0,138,0.983843,16,enterprise,ai_on,slack,retail,navigational,baseline,2026-03-14T08:07:00Z,normal_variance
0.233395,0.233395,0.354547,0.651775,0,237,0.978236,12,standard,ai_on,gdrive,retail,informational,baseline,2026-03-14T08:08:00Z,normal_variance
0.231516,0.231516,0.345801,0.638777,0,188,0.979317,20,standard,ai_on,confluence,finance,navigational,baseline,2026-03-14T08:09:00Z,normal_variance
0.293457,0.293457,0.000000,0.000000,0,269,0.985603,15,premium,ai_off,gdrive,tech,informational,baseline,2026-03-14T08:10:00Z,normal_variance
0.231293,0.231758,0.354015,0.654654,0,168,0.989978,12,standard,ai_on,jira,tech,navigational,baseline,2026-03-14T08:11:00Z,normal_variance
0.248102,0.248102,0.341209,0.656911,0,196,0.992234,22,premium,ai_on,slack,finance,action,baseline,2026-03-14T08:12:00Z,normal_variance
0.276948,0.276948,0.000000,0.000000,0,206,0.978547,6,standard,ai_off,confluence,retail,navigational,baseline,2026-03-14T08:13:00Z,normal_variance
0.233912,0.233912,0.346118,0.640097,0,222,0.995612,10,standard,ai_on,gdrive,tech,navigational,baseline,2026-03-14T08:14:00Z,normal_variance
0.283146,0.283146,0.000000,0.000000,1,138,0.981744,21,premium,ai_off,gdrive,finance,informational,baseline,2026-03-14T08:15:00Z,normal_variance
0.233848,0.233848,0.349884,0.664999,0,189,0.986145,22,standard,ai_on,slack,tech,navigational,baseline,2026-03-14T08:16:00Z,normal_variance
0.275288,0.275288,0.000000,0.000000,0,257,0.983097,22,standard,ai_off,slack,tech,informational,baseline,2026-03-14T08:17:00Z,normal_variance
0.288456,0.288456,0.000000,0.000000,0,222,0.987759,22,premium,ai_off,sharepoint,tech,navigational,baseline,2026-03-14T08:18:00Z,normal_variance
0.236056,0.236056,0.356139,0.656634,0,208,0.978065,12,standard,ai_on,gdrive,tech,action,baseline,2026-03-14T08:19:00Z,normal_variance
0.278697,0.278697,0.000000,0.000000,0,252,0.977186,7,standard,ai_off,sharepoint,retail,navigational,baseline,2026-03-14T08:20:00Z,normal_variance
0.279001,0.279001,0.000000,0.000000,0,284,0.989137,15,standard,ai_off,sharepoint,finance,navigational,baseline,2026-03-14T08:21:00Z,normal_variance
0.256223,0.256223,0.355831,0.663789,0,149,0.987271,15,premium,ai_on,slack,healthcare,action,baseline,2026-03-14T08:22:00Z,normal_variance
0.259987,0.259987,0.351274,0.658524,0,275,0.978424,21,enterprise,ai_on,gdrive,retail,informational,baseline,2026-03-14T08:23:00Z,normal_variance
0.270799,0.270799,0.000000,0.000000,0,323,0.979635,12,standard,ai_off,confluence,tech,informational,baseline,2026-03-14T08:24:00Z,normal_variance
0.296767,0.296767,0.000000,0.000000,0,243,0.985288,19,premium,ai_off,confluence,tech,informational,baseline,2026-03-14T08:25:00Z,normal_variance
0.299668,0.299668,0.000000,0.000000,0,100,0.985578,19,premium,ai_off,confluence,retail,navigational,baseline,2026-03-14T08:26:00Z,normal_variance
0.233688,0.233688,0.356423,0.642245,0,208,0.983647,8,standard,ai_on,slack,tech,informational,baseline,2026-03-14T08:27:00Z,normal_variance
0.229658,0.229658,0.341780,0.641708,0,208,0.990764,18,standard,ai_on,slack,tech,navigational,baseline,2026-03-14T08:28:00Z,normal_variance
0.298094,0.298094,0.000000,0.000000,0,155,0.985764,5,enterprise,ai_off,jira,retail,action,baseline,2026-03-14T08:29:00Z,normal_variance
0.278879,0.278879,0.000000,0.000000,0,179,0.980861,25,standard,ai_off,confluence,tech,action,baseline,2026-03-14T08:30:00Z,normal_variance
0.280001,0.280001,0.000000,0.000000,0,247,0.982677,7,standard,ai_off,sharepoint,finance,navigational,baseline,2026-03-14T08:31:00Z,normal_variance
0.293923,0.293923,0.000000,0.000000,0,190,0.988981,19,premium,ai_off,sharepoint,finance,navigational,baseline,2026-03-14T08:32:00Z,normal_variance
0.295964,0.295964,0.000000,0.000000,0,149,0.986573,19,premium,ai_off,confluence,retail,action,baseline,2026-03-14T08:33:00Z,normal_variance
0.278233,0.278233,0.000000,0.000000,0,265,0.987536,17,standard,ai_off,confluence,finance,navigational,baseline,2026-03-14T08:34:00Z,normal_variance
0.250251,0.250251,0.347184,0.645127,0,223,0.985660,24,premium,ai_on,slack,retail,informational,baseline,2026-03-14T08:35:00Z,normal_variance
0.234336,0.234336,0.344738,0.648568,0,227,0.987901,18,standard,ai_on,slack,finance,navigational,baseline,2026-03-14T08:36:00Z,normal_variance
0.274962,0.274962,0.000000,0.000000,0,206,0.982683,18,standard,ai_off,slack,tech,navigational,baseline,2026-03-14T08:37:00Z,normal_variance
0.288104,0.288104,0.000000,0.000000,0,102,0.983124,14,premium,ai_off,slack,tech,navigational,baseline,2026-03-14T08:38:00Z,normal_variance
0.257600,0.257600,0.349569,0.641828,0,217,0.979672,18,enterprise,ai_on,confluence,finance,navigational,baseline,2026-03-14T08:39:00Z,normal_variance
0.301654,0.301654,0.000000,0.000000,0,186,0.985755,22,enterprise,ai_off,confluence,healthcare,action,baseline,2026-03-14T08:40:00Z,normal_variance
0.298625,0.298625,0.000000,0.000000,0,148,0.984124,8,premium,ai_off,confluence,tech,informational,baseline,2026-03-14T08:41:00Z,normal_variance
0.282711,0.282711,0.000000,0.000000,0,270,0.978375,8,standard,ai_off,slack,retail,navigational,baseline,2026-03-14T08:42:00Z,normal_variance
0.258120,0.258120,0.354525,0.649643,0,157,0.975756,20,enterprise,ai_on,jira,healthcare,informational,baseline,2026-03-14T08:43:00Z,normal_variance
0.274180,0.274180,0.000000,0.000000,1,201,0.988178,24,standard,ai_off,confluence,tech,action,baseline,2026-03-14T08:44:00Z,normal_variance
0.227862,0.236298,0.360853,0.654830,0,178,0.989935,23,standard,ai_on,jira,healthcare,navigational,baseline,2026-03-14T08:45:00Z,normal_variance
0.277987,0.277987,0.000000,0.000000,0,198,0.986265,8,standard,ai_off,gdrive,tech,navigational,baseline,2026-03-14T08:46:00Z,normal_variance
0.235046,0.235046,0.348933,0.672626,0,155,0.976961,8,standard,ai_on,confluence,retail,navigational,baseline,2026-03-14T08:47:00Z,normal_variance
0.246287,0.246287,0.347113,0.640841,0,186,0.979680,8,premium,ai_on,slack,retail,action,baseline,2026-03-14T08:48:00Z,normal_variance
0.302578,0.302578,0.000000,0.000000,0,148,0.983448,10,enterprise,ai_off,jira,tech,informational,baseline,2026-03-14T08:49:00Z,normal_variance
0.281845,0.281845,0.000000,0.000000,0,226,0.983475,8,standard,ai_off,slack,tech,informational,baseline,2026-03-14T08:50:00Z,normal_variance
0.271767,0.271767,0.000000,0.000000,0,197,0.985036,9,standard,ai_off,jira,healthcare,navigational,baseline,2026-03-14T08:51:00Z,normal_variance
0.231591,0.231591,0.342492,0.651209,0,178,0.984340,11,standard,ai_on,confluence,finance,informational,baseline,2026-03-14T08:52:00Z,normal_variance
0.274615,0.274615,0.000000,0.000000,0,251,0.996516,17,standard,ai_off,slack,tech,informational,baseline,2026-03-14T08:53:00Z,normal_variance
0.235212,0.235212,0.354731,0.651756,0,154,0.983655,20,standard,ai_on,sharepoint,finance,navigational,baseline,2026-03-14T08:54:00Z,normal_variance
0.297376,0.297376,0.000000,0.000000,0,240,0.984490,19,premium,ai_off,confluence,retail,action,baseline,2026-03-14T08:55:00Z,normal_variance
0.252454,0.252454,0.351915,0.660344,0,282,0.975053,19,premium,ai_on,jira,finance,navigational,baseline,2026-03-14T08:56:00Z,normal_variance
0.297204,0.297204,0.000000,0.000000,0,192,0.990624,18,premium,ai_off,gdrive,healthcare,navigational,baseline,2026-03-14T08:57:00Z,normal_variance
0.293291,0.293291,0.000000,0.000000,0,209,0.990607,16,enterprise,ai_off,slack,finance,action,baseline,2026-03-14T08:58:00Z,normal_variance
0.289871,0.289871,0.000000,0.000000,0,237,0.987196,11,premium,ai_off,confluence,finance,action,baseline,2026-03-14T08:59:00Z,normal_variance
0.260718,0.260718,0.348044,0.655459,0,101,0.988376,14,enterprise,ai_on,confluence,finance,informational,baseline,2026-03-14T09:00:00Z,normal_variance
0.296264,0.296264,0.000000,0.000000,0,182,0.983250,22,enterprise,ai_off,gdrive,tech,informational,baseline,2026-03-14T09:01:00Z,normal_variance
0.252328,0.252328,0.347857,0.649584,0,204,0.984256,7,premium,ai_on,slack,retail,informational,baseline,2026-03-14T09:02:00Z,normal_variance
0.298264,0.298264,0.000000,0.000000,0,169,0.982866,15,premium,ai_off,sharepoint,finance,navigational,baseline,2026-03-14T09:03:00Z,normal_variance
0.303318,0.303318,0.000000,0.000000,0,170,0.987577,23,enterprise,ai_off,slack,finance,action,baseline,2026-03-14T09:04:00Z,normal_variance
0.269652,0.269652,0.000000,0.000000,0,78,0.983838,13,standard,ai_off,slack,healthcare,navigational,baseline,2026-03-14T09:05:00Z,normal_variance
0.258628,0.258628,0.348940,0.655229,0,158,0.989562,18,enterprise,ai_on,slack,healthcare,navigational,baseline,2026-03-14T09:06:00Z,normal_variance
0.232898,0.232898,0.348417,0.643361,0,195,0.987029,33,standard,ai_on,slack,tech,action,baseline,2026-03-14T09:07:00Z,normal_variance
0.229677,0.231628,0.358194,0.646655,0,179,0.986094,16,standard,ai_on,gdrive,finance,navigational,baseline,2026-03-14T09:08:00Z,normal_variance
0.294902,0.294902,0.000000,0.000000,0,269,0.986696,9,enterprise,ai_off,slack,healthcare,informational,baseline,2026-03-14T09:09:00Z,normal_variance
0.277696,0.277696,0.000000,0.000000,0,220,0.979604,16,standard,ai_off,gdrive,tech,navigational,baseline,2026-03-14T09:10:00Z,normal_variance
0.245054,0.245054,0.346006,0.642736,0,193,0.979836,19,enterprise,ai_on,gdrive,finance,navigational,baseline,2026-03-14T09:11:00Z,normal_variance
0.229075,0.229075,0.358349,0.637989,0,182,0.996866,18,standard,ai_on,slack,tech,informational,baseline,2026-03-14T09:12:00Z,normal_variance
0.277537,0.277537,0.000000,0.000000,0,218,0.990146,14,standard,ai_off,jira,tech,action,baseline,2026-03-14T09:13:00Z,normal_variance
0.256214,0.256214,0.352601,0.641335,0,182,0.981229,25,enterprise,ai_on,slack,finance,action,baseline,2026-03-14T09:14:00Z,normal_variance
0.271320,0.271320,0.000000,0.000000,0,213,0.980959,14,standard,ai_off,slack,tech,navigational,baseline,2026-03-14T09:15:00Z,normal_variance
0.276226,0.276226,0.000000,0.000000,1,302,0.983570,9,standard,ai_off,jira,tech,action,baseline,2026-03-14T09:16:00Z,normal_variance
0.290512,0.290512,0.000000,0.000000,0,230,0.986887,22,premium,ai_off,jira,retail,action,baseline,2026-03-14T09:17:00Z,normal_variance
0.293735,0.293735,0.000000,0.000000,0,176,0.984516,17,premium,ai_off,sharepoint,healthcare,navigational,baseline,2026-03-14T09:18:00Z,normal_variance
0.301209,0.301209,0.000000,0.000000,0,177,0.995080,9,enterprise,ai_off,slack,healthcare,navigational,baseline,2026-03-14T09:19:00Z,normal_variance
0.237047,0.237047,0.355135,0.652761,0,138,0.982536,20,standard,ai_on,jira,healthcare,informational,baseline,2026-03-14T09:20:00Z,normal_variance
0.287825,0.287825,0.000000,0.000000,0,172,0.997470,12,premium,ai_off,slack,finance,informational,baseline,2026-03-14T09:21:00Z,normal_variance
0.260578,0.260578,0.348904,0.652726,0,141,0.984950,21,enterprise,ai_on,gdrive,tech,navigational,baseline,2026-03-14T09:22:00Z,normal_variance
0.298069,0.298069,0.000000,0.000000,0,136,0.977444,8,enterprise,ai_off,confluence,retail,navigational,baseline,2026-03-14T09:23:00Z,normal_variance
0.277407,0.277407,0.000000,0.000000,0,225,0.989509,15,standard,ai_off,gdrive,finance,action,baseline,2026-03-14T09:24:00Z,normal_variance
0.288808,0.288808,0.000000,0.000000,0,215,0.993065,15,premium,ai_off,slack,retail,action,baseline,2026-03-14T09:25:00Z,normal_variance
0.294293,0.294293,0.000000,0.000000,0,142,0.980297,11,premium,ai_off,sharepoint,healthcare,navigational,baseline,2026-03-14T09:26:00Z,normal_variance
0.310355,0.310355,0.000000,0.000000,0,183,0.993346,9,enterprise,ai_off,gdrive,tech,action,baseline,2026-03-14T09:27:00Z,normal_variance
0.278996,0.278996,0.000000,0.000000,0,215,0.985253,16,standard,ai_off,confluence,finance,action,baseline,2026-03-14T09:28:00Z,normal_variance
0.245167,0.245167,0.344653,0.647657,0,235,0.978039,21,premium,ai_on,gdrive,retail,action,baseline,2026-03-14T09:29:00Z,normal_variance
0.274935,0.274935,0.000000,0.000000,0,178,0.986011,23,standard,ai_off,jira,tech,navigational,baseline,2026-03-14T09:30:00Z,normal_variance
0.272410,0.272410,0.000000,0.000000,0,202,0.988552,19,standard,ai_off,confluence,finance,informational,baseline,2026-03-14T09:31:00Z,normal_variance
0.234446,0.234446,0.349334,0.655908,0,215,0.982599,18,standard,ai_on,slack,finance,informational,baseline,2026-03-14T09:32:00Z,normal_variance
0.229458,0.229458,0.342877,0.652039,0,187,0.981749,18,standard,ai_on,sharepoint,finance,navigational,baseline,2026-03-14T09:33:00Z,normal_variance
0.256506,0.256506,0.351832,0.647140,0,231,0.986778,5,premium,ai_on,gdrive,healthcare,navigational,baseline,2026-03-14T09:34:00Z,normal_variance
0.306990,0.306990,0.000000,0.000000,0,183,0.990255,18,enterprise,ai_off,slack,tech,action,baseline,2026-03-14T09:35:00Z,normal_variance
0.275475,0.275475,0.000000,0.000000,0,244,0.981636,19,standard,ai_off,jira,tech,informational,baseline,2026-03-14T09:36:00Z,normal_variance
0.279228,0.279228,0.000000,0.000000,0,191,0.981051,20,standard,ai_off,confluence,tech,navigational,baseline,2026-03-14T09:37:00Z,normal_variance
0.281437,0.281437,0.000000,0.000000,0,273,0.982506,13,standard,ai_off,slack,finance,action,baseline,2026-03-14T09:38:00Z,normal_variance
0.279013,0.279013,0.000000,0.000000,0,195,0.984226,18,standard,ai_off,confluence,tech,informational,baseline,2026-03-14T09:39:00Z,normal_variance
0.278477,0.278477,0.000000,0.000000,0,270,0.994440,10,standard,ai_off,slack,healthcare,informational,baseline,2026-03-14T09:40:00Z,normal_variance
