click_quality_value,search_quality_success_value,ai_trigger,ai_success,zero_result,latency_ms,data_completeness,data_freshness_min,tenant_tier,ai_enablement,connector_type,industry_vertical,query_type,period,metric_ts,scenario_id
0.245584,0.245584,0.362467,0.640339,0,234,0.981572,9,premium,ai_on,confluence,tech,informational,baseline,2026-03-14T08:00:00Z,ranking_regression
0.292561,0.292561,0.000000,0.000000,0,216,0.985284,7,premium,ai_off,confluence,finance,navigational,baseline,2026-03-14T08:01:00Z,ranking_regression
0.277676,0.277676,0.000000,0.000000,0,166,0.989824,12,standard,ai_off,confluence,tech,informational,baseline,2026-03-14T08:02:00Z,ranking_regression
0.249390,0.249390,0.347469,0.663170,0,188,0.988444,20,premium,ai_on,gdrive,retail,navigational,baseline,2026-03-14T08:03:00Z,ranking_regression
0.300600,0.300600,0.000000,0.000000,0,192,0.989751,12,enterprise,ai_off,slack,tech,action,baseline,2026-03-14T08:04:00Z,ranking_regression
0.237374,0.237374,0.356674,0.634518,0,200,0.983609,24,standard,ai_on,confluence,retail,informational,baseline,2026-03-14T08:05:00Z,ranking_regression
0.305866,0.305866,0.000000,0.000000,0,195,0.976598,22,enterprise,ai_off,gdrive,healthcare,navigational,baseline,2026-03-14T08:06:00Z,ranking_regression
0.285912,0.285912,0.000000,0.000000,0,194,0.983550,23,premium,ai_off,gdrive,healthcare,informational,baseline,2026-03-14T08:07:00Z,ranking_regression
0.242471,0.242471,0.356239,0.631949,0,195,0.983003,21,premium,ai_on,confluence,tech,navigational,baseline,2026-03-14T08:08:00Z,ranking_regression
0.236545,0.236545,0.349958,0.657214,0,249,0.979069,12,standard,ai_on,confluence,retail,navigational,baseline,2026-03-14T08:09:00Z,ranking_regression
0.229547,0.230324,0.351281,0.655669,0,271,0.985891,23,standard,ai_on,confluence,healthcare,informational,baseline,2026-03-14T08:10:00Z,ranking_regression
0.255965,0.255965,0.352349,0.645056,0,112,0.980215,7,premium,ai_on,gdrive,tech,navigational,baseline,2026-03-14T08:11:00Z,ranking_regression
0.307768,0.307768,0.000000,0.000000,0,192,0.978322,14,enterprise,ai_off,gdrive,retail,action,baseline,2026-03-14T08:12:00Z,ranking_regression
0.255216,0.255216,0.342194,0.638915,0,222,0.984115,9,premium,ai_on,confluence,tech,navigational,baseline,2026-03-14T08:13:00Z,ranking_regression
0.276142,0.276142,0.000000,0.000000,0,176,0.989461,14,standard,ai_off,jira,tech,informational,baseline,2026-03-14T08:14:00Z,ranking_regression
0.275376,0.275376,0.000000,0.000000,0,132,0.990938,7,standard,ai_off,slack,tech,navigational,baseline,2026-03-14T08:15:00Z,ranking_regression
0.247614,0.247614,0.353136,0.646786,0,117,0.986835,15,premium,ai_on,gdrive,healthcare,navigational,baseline,2026-03-14T08:16:00Z,ranking_regression
0.271131,0.271131,0.000000,0.000000,0,117,0.984892,9,standard,ai_off,gdrive,tech,navigational,baseline,2026-03-14T08:17:00Z,ranking_regression
0.282307,0.282307,0.000000,0.000000,0,241,0.977782,17,standard,ai_off,jira,finance,navigational,baseline,2026-03-14T08:18:00Z,ranking_regression
0.278549,0.278549,0.000000,0.000000,0,191,0.983696,19,standard,ai_off,gdrive,healthcare,action,baseline,2026-03-14T08:19:00Z,ranking_regression
0.280626,0.280626,0.000000,0.000000,0,248,0.985806,12,standard,ai_off,gdrive,finance,navigational,baseline,2026-03-14T08:20:00Z,ranking_regression
0.256672,0.256672,0.355057,0.644715,0,174,0.988460,19,premium,ai_on,slack,finance,action,baseline,2026-03-14T08:21:00Z,ranking_regression
0.257426,0.257426,0.354030,0.667589,0,205,0.983712,12,enterprise,ai_on,gdrive,tech,action,baseline,2026-03-14T08:22:00Z,ranking_regression
0.254179,0.254179,0.351731,0.638137,0,162,0.984994,24,enterprise,ai_on,gdrive,retail,navigational,baseline,2026-03-14T08:23:00Z,ranking_regression
0.296368,0.296368,0.000000,0.000000,0,246,0.985523,21,premium,ai_off,jira,finance,navigational,baseline,2026-03-14T08:24:00Z,ranking_regression
0.222748,0.222748,0.342542,0.642450,0,332,0.984010,21,standard,ai_on,sharepoint,healthcare,action,baseline,2026-03-14T08:25:00Z,ranking_regression
0.230238,0.230238,0.342021,0.662687,0,220,0.988383,12,standard,ai_on,jira,healthcare,navigational,baseline,2026-03-14T08:26:00Z,ranking_regression
0.233941,0.233941,0.343160,0.641683,0,256,0.981498,7,standard,ai_on,jira,retail,navigational,baseline,2026-03-14T08:27:00Z,ranking_regression
0.273208,0.273208,0.000000,0.000000,0,119,0.990922,10,standard,ai_off,confluence,healthcare,informational,baseline,2026-03-14T08:28:00Z,ranking_regression
0.275876,0.275876,0.000000,0.000000,0,250,0.984760,12,standard,ai_off,gdrive,tech,navigational,baseline,2026-03-14T08:29:00Z,ranking_regression
0.300395,0.300395,0.000000,0.000000,0,279,0.989200,19,enterprise,ai_off,slack,finance,navigational,baseline,2026-03-14T08:30:00Z,ranking_regression
0.236722,0.236722,0.348849,0.665721,0,151,0.987593,9,standard,ai_on,gdrive,tech,navigational,baseline,2026-03-14T08:31:00Z,ranking_regression
0.279897,0.279897,0.000000,0.000000,0,122,0.994617,23,standard,ai_off,confluence,healthcare,action,baseline,2026-03-14T08:32:00Z,ranking_regression
0.238260,0.238260,0.360584,0.659986,0,138,0.993845,13,standard,ai_on,gdrive,tech,navigational,baseline,2026-03-14T08:33:00Z,ranking_regression
0.297164,0.297164,0.000000,0.000000,1,266,0.979638,13,enterprise,ai_off,slack,retail,action,baseline,2026-03-14T08:34:00Z,ranking_regression
0.230072,0.230072,0.343061,0.634372,0,152,0.987836,17,standard,ai_on,slack,finance,informational,baseline,2026-03-14T08:35:00Z,ranking_regression
0.304076,0.304076,0.000000,0.000000,0,216,0.988047,13,premium,ai_off,sharepoint,tech,informational,baseline,2026-03-14T08:36:00Z,ranking_regression
0.284653,0.284653,0.000000,0.000000,0,236,0.983350,19,standard,ai_off,confluence,tech,informational,baseline,2026-03-14T08:37:00Z,ranking_regression
0.237885,0.237885,0.359770,0.646195,0,254,0.987050,13,standard,ai_on,confluence,healthcare,informational,baseline,2026-03-14T08:38:00Z,ranking_regression
0.296024,0.296024,0.000000,0.000000,0,221,0.989914,13,enterprise,ai_off,confluence,healthcare,action,baseline,2026-03-14T08:39:00Z,ranking_regression
0.302372,0.302372,0.000000,0.000000,0,171,0.989711,18,enterprise,ai_off,jira,tech,informational,baseline,2026-03-14T08:40:00Z,ranking_regression
0.268919,0.268919,0.000000,0.000000,0,267,0.981282,18,standard,ai_off,confluence,finance,action,baseline,2026-03-14T08:41:00Z,ranking_regression
0.285295,0.285295,0.000000,0.000000,0,169,0.982534,9,standard,ai_off,slack,finance,action,baseline,2026-03-14T08:42:00Z,ranking_regression
0.306736,0.306736,0.000000,0.000000,0,193,0.985942,17,enterprise,ai_off,gdrive,tech,navigational,baseline,2026-03-14T08:43:00Z,ranking_regression
0.305387,0.305387,0.000000,0.000000,0,155,0.980758,9,enterprise,ai_off,gdrive,retail,navigational,baseline,2026-03-14T08:44:00Z,ranking_regression
0.302710,0.302710,0.000000,0.000000,0,211,0.989533,19,premium,ai_off,jira,tech,action,baseline,2026-03-14T08:45:00Z,ranking_regression
0.237893,0.237893,0.353734,0.651809,0,233,0.983661,17,standard,ai_on,gdrive,retail,navigational,baseline,2026-03-14T08:46:00Z,ranking_regression
0.277754,0.277754,0.000000,0.000000,0,197,0.986621,17,standard,ai_off,confluence,finance,informational,baseline,2026-03-14T08:47:00Z,ranking_regression
0.277489,0.277489,0.000000,0.000000,0,230,0.985854,15,standard,ai_off,gdrive,healthcare,navigational,baseline,2026-03-14T08:48:00Z,ranking_regression
0.250687,0.250687,0.346251,0.647303,0,227,0.984682,8,premium,ai_on,slack,retail,navigational,baseline,2026-03-14T08:49:00Z,ranking_regression
0.277371,0.277371,0.000000,0.000000,0,143,0.982605,14,standard,ai_off,confluence,finance,action,baseline,2026-03-14T08:50:00Z,ranking_regression
0.248188,0.248188,0.349695,0.666420,0,223,0.979516,14,enterprise,ai_on,confluence,tech,action,baseline,2026-03-14T08:51:00Z,ranking_regression
0.304067,0.304067,0.000000,0.000000,0,196,0.978797,19,enterprise,ai_off,slack,tech,action,baseline,2026-03-14T08:52:00Z,ranking_regression
0.285314,0.285314,0.000000,0.000000,0,206,0.990982,18,premium,ai_off,sharepoint,retail,navigational,baseline,2026-03-14T08:53:00Z,ranking_regression
0.260338,0.260338,0.351689,0.641760,0,153,0.991146,14,enterprise,ai_on,gdrive,healthcare,navigational,baseline,2026-03-14T08:54:00Z,ranking_regression
0.227944,0.233170,0.352053,0.662316,0,245,0.980009,8,standard,ai_on,gdrive,tech,informational,baseline,2026-03-14T08:55:00Z,ranking_regression
0.249525,0.249525,0.346408,0.643300,0,210,0.980034,16,premium,ai_on,gdrive,tech,informational,baseline,2026-03-14T08:56:00Z,ranking_regression
0.306458,0.306458,0.000000,0.000000,0,229,0.982974,17,enterprise,ai_off,confluence,finance,navigational,baseline,2026-03-14T08:57:00Z,ranking_regression
0.278874,0.278874,0.000000,0.000000,0,191,0.986878,16,standard,ai_off,gdrive,tech,informational,baseline,2026-03-14T08:58:00Z,ranking_regression
0.294431,0.294431,0.000000,0.000000,0,108,0.979503,11,premium,ai_off,confluence,tech,action,baseline,2026-03-14T08:59:00Z,ranking_regression
0.301388,0.301388,0.000000,0.000000,0,222,0.980776,7,enterprise,ai_off,jira,finance,navigational,baseline,2026-03-14T09:00:00Z,ranking_regression
0.236266,0.236266,0.343816,0.662947,0,186,0.981948,13,standard,ai_on,jira,retail,action,baseline,2026-03-14T09:01:00Z,ranking_regression
0.255978,0.255978,0.346883,0.664649,0,260,0.985517,8,enterprise,ai_on,confluence,tech,informational,baseline,2026-03-14T09:02:00Z,ranking_regression
0.305584,0.305584,0.000000,0.000000,0,109,0.987874,8,enterprise,ai_off,gdrive,tech,action,baseline,2026-03-14T09:03:00Z,ranking_regression
0.301847,0.301847,0.000000,0.000000,0,190,0.986889,11,enterprise,ai_off,jira,healthcare,navigational,baseline,2026-03-14T09:04:00Z,ranking_regression
0.252473,0.252473,0.357408,0.646782,1,242,0.989420,10,premium,ai_on,sharepoint,retail,action,baseline,2026-03-14T09:05:00Z,ranking_regression
0.255765,0.255765,0.351695,0.648370,0,190,0.986134,20,enterprise,ai_on,jira,tech,action,baseline,2026-03-14T09:06:00Z,ranking_regression
0.255493,0.255493,0.354246,0.647002,0,114,0.986415,15,enterprise,ai_on,jira,finance,navigational,baseline,2026-03-14T09:07:00Z,ranking_regression
0.252858,0.252858,0.356084,0.646427,0,164,0.979621,15,premium,ai_on,confluence,tech,navigational,baseline,2026-03-14T09:08:00Z,ranking_regression
0.301396,0.301396,0.000000,0.000000,0,282,0.981309,16,enterprise,ai_off,confluence,retail,navigational,baseline,2026-03-14T09:09:00Z,ranking_regression
0.300224,0.300224,0.000000,0.000000,0,147,0.989812,16,enterprise,ai_off,sharepoint,tech,action,baseline,2026-03-14T09:10:00Z,ranking_regression
0.277080,0.277080,0.000000,0.000000,0,196,0.985655,17,standard,ai_off,confluence,tech,informational,baseline,2026-03-14T09:11:00Z,ranking_regression
0.249884,0.249884,0.354679,0.666146,0,204,0.979308,20,premium,ai_on,gdrive,finance,navigational,baseline,2026-03-14T09:12:00Z,ranking_regression
0.242901,0.242901,0.349984,0.651304,0,181,0.985938,15,premium,ai_on,gdrive,tech,action,baseline,2026-03-14T09:13:00Z,ranking_regression
0.302750,0.302750,0.000000,0.000000,0,152,0.977960,11,premium,ai_off,gdrive,retail,navigational,baseline,2026-03-14T09:14:00Z,ranking_regression
0.275710,0.275710,0.000000,0.000000,1,212,0.980931,23,standard,ai_off,slack,tech,action,baseline,2026-03-14T09:15:00Z,ranking_regression
0.244780,0.244780,0.343297,0.653667,0,189,0.985280,21,premium,ai_on,slack,finance,informational,baseline,2026-03-14T09:16:00Z,ranking_regression
0.229039,0.229039,0.349210,0.646717,0,242,0.987940,20,standard,ai_on,slack,healthcare,informational,baseline,2026-03-14T09:17:00Z,ranking_regression
0.306587,0.306587,0.000000,0.000000,0,239,0.980287,21,enterprise,ai_off,slack,finance,navigational,baseline,2026-03-14T09:18:00Z,ranking_regression
0.280710,0.280710,0.000000,0.000000,0,116,0.987008,17,standard,ai_off,gdrive,retail,informational,baseline,2026-03-14T09:19:00Z,ranking_regression
0.227785,0.227785,0.344677,0.646594,0,174,0.976626,15,standard,ai_on,slack,healthcare,informational,baseline,2026-03-14T09:20:00Z,ranking_regression
0.232736,0.232736,0.344280,0.661171,0,170,0.977913,7,standard,ai_on,gdrive,retail,navigational,baseline,2026-03-14T09:21:00Z,ranking_regression
0.300690,0.300690,0.000000,0.000000,0,179,0.981030,16,enterprise,ai_off,gdrive,tech,navigational,baseline,2026-03-14T09:22:00Z,ranking_regression
0.232317,0.232317,0.351764,0.641603,0,198,0.993843,18,standard,ai_on,slack,retail,navigational,baseline,2026-03-14T09:23:00Z,ranking_regression
0.284870,0.284870,0.000000,0.000000,0,246,0.980539,11,standard,ai_off,confluence,retail,informational,baseline,2026-03-14T09:24:00Z,ranking_regression
0.272353,0.272353,0.000000,0.000000,0,214,0.989337,11,standard,ai_off,confluence,retail,informational,baseline,2026-03-14T09:25:00Z,ranking_regression
0.279719,0.279719,0.000000,0.000000,0,132,0.982174,15,standard,ai_off,confluence,healthcare,informational,baseline,2026-03-14T09:26:00Z,ranking_regression
0.234009,0.234009,0.350930,0.657207,0,172,0.981924,14,standard,ai_on,jira,finance,action,baseline,2026-03-14T09:27:00Z,ranking_regression
0.295067,0.295067,0.000000,0.000000,0,253,0.982090,14,premium,ai_off,gdrive,healthcare,action,baseline,2026-03-14T09:28:00Z,ranking_regression
0.292483,0.292483,0.000000,0.000000,0,229,0.981442,20,premium,ai_off,gdrive,retail,informational,baseline,2026-03-14T09:29:00Z,ranking_regression
0.304098,0.304098,0.000000,0.000000,0,129,0.991242,19,enterprise,ai_off,slack,tech,navigational,baseline,2026-03-14T09:30:00Z,ranking_regression
0.293489,0.293489,0.000000,0.000000,0,278,0.993454,9,premium,ai_off,gdrive,retail,navigational,baseline,2026-03-14T09:31:00Z,ranking_regression
0.230194,0.233438,0.356011,0.655704,0,236,0.983414,10,standard,ai_on,confluence,tech,informational,baseline,2026-03-14T09:32:00Z,ranking_regression
0.225699,0.225699,0.343038,0.646533,0,245,0.987879,8,standard,ai_on,gdrive,retail,navigational,baseline,2026-03-14T09:33:00Z,ranking_regression
0.280747,0.280747,0.000000,0.000000,0,127,0.977893,13,standard,ai_off,slack,tech,informational,baseline,2026-03-14T09:34:00Z,ranking_regression
0.298688,0.298688,0.000000,0.000000,0,221,0.986473,18,enterprise,ai_off,gdrive,healthcare,informational,baseline,2026-03-14T09:35:00Z,ranking_regression
0.236310,0.236310,0.348043,0.650779,0,226,0.986291,13,standard,ai_on,slack,retail,action,baseline,2026-03-14T09:36:00Z,ranking_regression
0.303627,0.303627,0.000000,0.000000,0,105,0.989404,16,enterprise,ai_off,gdrive,finance,informational,baseline,2026-03-14T09:37:00Z,ranking_regression
0.232689,0.232689,0.347232,0.645854,0,220,0.986203,5,standard,ai_on,slack,tech,navigational,baseline,2026-03-14T09:38:00Z,ranking_regression
